2023-09-24 23:15:40 startup archives unpack
2023-09-24 23:15:40 install libelf1:arm64 <none> 0.183-1
2023-09-24 23:15:40 status triggers-pending libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:15:40 status half-installed libelf1:arm64 0.183-1
2023-09-24 23:15:41 status unpacked libelf1:arm64 0.183-1
2023-09-24 23:15:41 install libbpf0:arm64 <none> 1:0.3-2
2023-09-24 23:15:41 status half-installed libbpf0:arm64 1:0.3-2
2023-09-24 23:15:41 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:15:41 install libmd0:arm64 <none> 1.0.3-3
2023-09-24 23:15:41 status half-installed libmd0:arm64 1.0.3-3
2023-09-24 23:15:41 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:15:41 install libbsd0:arm64 <none> 0.11.3-1
2023-09-24 23:15:41 status half-installed libbsd0:arm64 0.11.3-1
2023-09-24 23:15:41 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:15:41 install libcap2:arm64 <none> 1:2.44-1
2023-09-24 23:15:41 status half-installed libcap2:arm64 1:2.44-1
2023-09-24 23:15:41 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:15:41 install libmnl0:arm64 <none> 1.0.4-3
2023-09-24 23:15:41 status half-installed libmnl0:arm64 1.0.4-3
2023-09-24 23:15:41 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:15:41 install libxtables12:arm64 <none> 1.8.7-1
2023-09-24 23:15:41 status half-installed libxtables12:arm64 1.8.7-1
2023-09-24 23:15:41 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:15:41 install libcap2-bin:arm64 <none> 1:2.44-1
2023-09-24 23:15:41 status half-installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:15:41 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:15:41 install iproute2:arm64 <none> 5.10.0-4
2023-09-24 23:15:41 status half-installed iproute2:arm64 5.10.0-4
2023-09-24 23:15:41 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:15:41 install libatm1:arm64 <none> 1:2.5.1-4
2023-09-24 23:15:41 status half-installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:15:41 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:15:41 install libpam-cap:arm64 <none> 1:2.44-1
2023-09-24 23:15:41 status half-installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:15:41 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:15:41 startup packages configure
2023-09-24 23:15:41 configure libatm1:arm64 1:2.5.1-4 <none>
2023-09-24 23:15:41 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:15:41 status half-configured libatm1:arm64 1:2.5.1-4
2023-09-24 23:15:41 status installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:15:41 configure libcap2:arm64 1:2.44-1 <none>
2023-09-24 23:15:41 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:15:41 status half-configured libcap2:arm64 1:2.44-1
2023-09-24 23:15:41 status installed libcap2:arm64 1:2.44-1
2023-09-24 23:15:41 configure libcap2-bin:arm64 1:2.44-1 <none>
2023-09-24 23:15:41 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:15:41 status half-configured libcap2-bin:arm64 1:2.44-1
2023-09-24 23:15:41 status installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:15:41 configure libmnl0:arm64 1.0.4-3 <none>
2023-09-24 23:15:41 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:15:41 status half-configured libmnl0:arm64 1.0.4-3
2023-09-24 23:15:41 status installed libmnl0:arm64 1.0.4-3
2023-09-24 23:15:41 configure libxtables12:arm64 1.8.7-1 <none>
